Include Group	Group Name	Combine	Platform-Type-OS-Version	Name	Location	Environment	Test Data
No	ChangeStatModeNAMultistat		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,MULTI_LOCATION_MULTI_DEVICE'"
No	ChangeStatModeNAAutochangeover		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,SPECIFIC_SETTINGS'"
No	ChangeStatModeEMEA		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
No	ChangeStatModeEMEAMultistat		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,MULTI_LOCATION_MULTI_DEVICE'"
Yes	CreateGeofencescheduleSinglestatDefaultvalueWithSleepsettings		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	CreateGeofencescheduleSinglestatDefaultvalueWithoutsleepsettings		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	CreateGeofencescheduleSinglestatBychangingTemperaturevalue		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	CreateGeofencescheduleSinglestatEditSleepsettings		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	CreateGeofencescheduleSinglestatTemperatureRange		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	CreateEMEAGeofencescheduleSinglestatTimeformat		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
Yes	CreateNAGeofencescheduleSinglestatTimeformat		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	CreateGeofencescheduleMultistatCopyschedule		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,MULTI_LOCATION_MULTI_DEVICE'"
Yes	CreateNAGeofencescheduleSinglestatTemperatureAutochangeoverEnabled		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,SPECIFIC_SETTINGS'"
No	CreateGeofencescheduleSinglestatDefaultvalueWithSleepsettings		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	CreateGeofencescheduleSinglestatDefaultvalueWithoutsleepsettings		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	CreateGeofencescheduleSinglestatBychangingTemperaturevalue		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	CreateGeofencescheduleSinglestatEditSleepsettings		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	CreateGeofencescheduleSinglestatTemperatureRange		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	CreateEMEAGeofencescheduleSinglestatTimeformat		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
No	CreateNAGeofencescheduleSinglestatTimeformat		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	CreateGeofencescheduleMultistatCopyschedule		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,MULTI_LOCATION_MULTI_DEVICE'"
No	CreateNAGeofencescheduleSinglestatTemperatureAutochangeoverEnabled		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,SPECIFIC_SETTINGS'"
Yes	CreateEMEAEverydayscheduleSinglestatDefaultvalue		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
Yes	CreateEMEAWeekdayandWeekendTimebasedscheduleSinglestatDefaultvalue		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
Yes	CautionmessageTochangeGeofencescheduleFromWeekdayandWeekendscheduleCancels		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
Yes	CautionmessageTochangeGeofencescheduleFromWeekdayandWeekendscheduleConfirms		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
Yes	CautionmessageTochangeGeofencescheduleFromEverydayscheduleCancels		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
Yes	CautionmessageTochangeGeofencescheduleFromEverydayscheduleConfirms		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
Yes	CreateEMEAEverydayscheduleTemperatureRange		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
Yes	CreateEMEAWeekdayandWeekendscheduleTemperatureRange		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
Yes	CreateEMEAEverydayscheduleTimeformat		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
Yes	CreateEMEAEverydayscheduleAddingperiod		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
Yes	CreateEMEAEverydayscheduleDeletingperiod		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
Yes	CreateEMEAWeekedayandWeekendscheduleAddingperiod		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
Yes	CreateEMEAWeekedayandWeekendscheduleDeletingperiod		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
Yes	CreateEMEAWeekdayandWeekendScheduleTimeformat		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
Yes	CreateEMEAEverydayscheduleMultistatCopyschedule		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,MULTI_LOCATION_MULTI_DEVICE'"
Yes	CreateEMEAWeekdayandWeekendscheduleMultistatCopyschedule		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,MULTI_LOCATION_MULTI_DEVICE'"
No	CreateEMEAEverydayscheduleSinglestatDefaultvalue		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
No	CreateEMEAWeekdayandWeekendTimebasedscheduleSinglestatDefaultvalue		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
No	CautionmessageTochangeGeofencescheduleFromWeekdayandWeekendscheduleCancels		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
No	CautionmessageTochangeGeofencescheduleFromWeekdayandWeekendscheduleConfirms		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
No	CautionmessageTochangeGeofencescheduleFromEverydayscheduleCancels		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
No	CautionmessageTochangeGeofencescheduleFromEverydayscheduleConfirms		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
No	CreateEMEAEverydayscheduleTemperatureRange		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
No	CreateEMEAWeekdayandWeekendscheduleTemperatureRange		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
No	CreateEMEAEverydayscheduleTimeformat		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
No	CreateEMEAEverydayscheduleAddingperiod		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
No	CreateEMEAEverydayscheduleDeletingperiod		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
No	CreateEMEAWeekedayandWeekendscheduleAddingperiod		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
No	CreateEMEAWeekedayandWeekendscheduleDeletingperiod		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
No	CreateEMEAWeekdayandWeekendScheduleTimeformat		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
No	CreateEMEAEverydayscheduleMultistatCopyschedule		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,MULTI_LOCATION_MULTI_DEVICE'"
No	CreateEMEAWeekdayandWeekendscheduleMultistatCopyschedule		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,MULTI_LOCATION_MULTI_DEVICE'"
Yes	CreateNAEverydayscheduleSinglestatDefaultvalue		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	CreateNAWeekdayandWeekendTimebasedscheduleSinglestatDefaultvalue		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	CautionmessageNATochangeGeofencescheduleFromWeekdayandWeekendscheduleCancels		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	CautionmessageNATochangeGeofencescheduleFromWeekdayandWeekendscheduleConfirms		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	CautionmessageNATochangeGeofencescheduleFromEverydayscheduleCancels		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	CautionmessageNATochangeGeofencescheduleFromEverydayscheduleConfirms		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	CreateNAEverydayscheduleTemperatureRange		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	CreateNAWeekdayandWeekendscheduleTemperatureRange		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	CreateNAEverydayscheduleTimeformat		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	CreateNAEverydayscheduleDeletingperiod		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	CreateNAEverydayscheduleDeletingAllperiod		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	CreateNAWeekdayandWeekendscheduleDeletingperiod		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	CreateNAWeekdayandWeekendscheduleDeletingAllperiod		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	CreateNAWeekdayandWeekendscheduleTimeformat		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	CreateNAEverydayscheduleMultistatCopyschedule		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,MULTI_LOCATION_MULTI_DEVICE'"
Yes	CreateNAWeekdayandWeekendscheduleMultistatCopyschedule		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,MULTI_LOCATION_MULTI_DEVICE'"
No	CreateNAEverydayscheduleSinglestatDefaultvalue		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	CreateNAWeekdayandWeekendTimebasedscheduleSinglestatDefaultvalue		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	CautionmessageNATochangeGeofencescheduleFromWeekdayandWeekendscheduleCancels		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	CautionmessageNATochangeGeofencescheduleFromWeekdayandWeekendscheduleConfirms		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	CautionmessageNATochangeGeofencescheduleFromEverydayscheduleCancels		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	CautionmessageNATochangeGeofencescheduleFromEverydayscheduleConfirms		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	CreateNAEverydayscheduleTemperatureRange		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	CreateNAWeekdayandWeekendscheduleTemperatureRange		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	CreateNAEverydayscheduleTimeformat		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	CreateNAEverydayscheduleDeletingperiod		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	CreateNAEverydayscheduleDeletingAllperiod		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	CreateNAWeekdayandWeekendscheduleDeletingperiod		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	CreateNAWeekdayandWeekendscheduleDeletingAllperiod		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	CreateNAWeekdayandWeekendscheduleTimeformat		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	CreateNAEverydayscheduleMultistatCopyschedule		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	CreateNAWeekdayandWeekendscheduleMultistatCopyschedule		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	SetTemperatureNAHBB		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	SetTemperatureEMEA		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
Yes	SetTemperatureMultistatNA		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,MULTI_LOCATION_MULTI_DEVICE'"
Yes	SetTemperatureMultistatEMEA		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,MULTI_LOCATION_MULTI_DEVICE'"
Yes	SetWheelGrayedoutOFFMode		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	SetTemperatureAutochangeoverJasperNA		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,SPECIFIC_SETTINGS'"
No	SetTemperatureNAHBB		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	SetTemperatureEMEA		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
No	SetTemperatureMultistatNA		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,MULTI_LOCATION_MULTI_DEVICE'"
No	SetTemperatureMultistatEMEA		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,MULTI_LOCATION_MULTI_DEVICE'"
No	SetWheelGrayedoutOFFMode		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	SetTemperatureAutochangeoverJasperNA		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,SPECIFIC_SETTINGS'"
Yes	VerifyStartAndEndDate		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	VerifyGuideMessage		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	VerifyDateInputs		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	VerifyTimeAndDateBoundaryConditionsForNA		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	VerifyTimeAndDateBoundaryConditionsForEMEA		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
Yes	VerifyVacationDefaultSetPoints		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
